s/n,sample_index,sentence,pred_pair_index,pred_cause,pred_effect,pred_causality,pred_sententiality,best_gold_pair_index,gold_cause,gold_effect,gold_causality,gold_sententiality,exact_match,soft_token_overlap_match,soft_pair_score,pred_causality_norm,gold_causality_norm,pred_sententiality_norm,gold_sententiality_norm
10394,10,"There is published evidence to establish a causal relationship between estrogens in the environment and breast cancer. However, there are serious gaps in our knowledge about estrogen levels in the environment and a call is required for a world wide effort to provide more data on many more samples sites. Of the data available, the synthetic estrogen, ethinyl estradiol, is more persistent in the environment than natural estrogens and may be a greater cause for environmental concern. Finally, we believe that there is an urgent requirement for inter-disciplinary studies of estrogens in order to better understand their ecological and environmental impact",1,"synthetic estrogen, ethinyl estradiol",more persistent in the environment,Explicit,Intra,0,Estrogens in the environment,Breast cancer,Explicit,Intra,0,0,0.0,Explicit,Explicit,Intra,Intra
10394,10,"There is published evidence to establish a causal relationship between estrogens in the environment and breast cancer. However, there are serious gaps in our knowledge about estrogen levels in the environment and a call is required for a world wide effort to provide more data on many more samples sites. Of the data available, the synthetic estrogen, ethinyl estradiol, is more persistent in the environment than natural estrogens and may be a greater cause for environmental concern. Finally, we believe that there is an urgent requirement for inter-disciplinary studies of estrogens in order to better understand their ecological and environmental impact",2,"synthetic estrogen, ethinyl estradiol",greater cause for environmental concern,Explicit,Intra,0,Estrogens in the environment,Breast cancer,Explicit,Intra,0,0,0.0,Explicit,Explicit,Intra,Intra
7989,11,"For both biomarkers, we observed a strong overall association with PFOA blood levels. However, for lymphocyte counts the extended multilevel approach revealed the absence of a between-group effect, suggesting that most of the observed total effect was due to individual level confounding. In contrast, for CRP we found consistent between- and within-group effects, which corroborates the causal claim for the association between PFOA blood levels and CRP",0,individual level confounding,observed total effect,Explicit,Intra,1,individual level confounding,most of the observed total effect,Explicit,Intra,0,1,0.8333333333333333,Explicit,Explicit,Intra,Intra
7989,11,"For both biomarkers, we observed a strong overall association with PFOA blood levels. However, for lymphocyte counts the extended multilevel approach revealed the absence of a between-group effect, suggesting that most of the observed total effect was due to individual level confounding. In contrast, for CRP we found consistent between- and within-group effects, which corroborates the causal claim for the association between PFOA blood levels and CRP",1,PFOA blood levels,CRP,Explicit,Inter,0,PFOA blood levels,CRP,Explicit,Intra,1,1,1.0,Explicit,Explicit,Inter,Intra
26076,12,"Chronic liver diseases constitute a major global public health burden, posing a substantial threat to patients' daily lives and even survival due to the potential development of musculoskeletal disorders. Although the relationship between chronic liver diseases and musculoskeletal disorders has received extensive attention, their causal relationship has not been comprehensively and systematically investigated",0,chronic liver diseases,musculoskeletal disorders,Implicit,Intra,0,the potential development of musculoskeletal disorders,"Chronic liver diseases constitute a major global public health burden, posing a substantial threat to patients' daily lives and even survival",Explicit,Intra,0,0,0.0,Implicit,Explicit,Intra,Intra
11923,13,"Results indicate that a CCT for high school girls has protective effects on their experience of IPV and that the effect is due in part to girls choosing not to engage in sexual partnerships, thereby reducing the opportunity for IPV. As a lower exposure to IPV and safer sexual behaviours also protect against HIV acquisition, this study adds to the growing body of evidence on how cash transfers may reduce young women's HIV risk",0,a CCT for high school girls,protective effects on their experience of IPV,Explicit,Intra,1,girls choosing not to engage in sexual partnerships,a CCT for high school girls has protective effects on their experience of IPV,Implicit,Intra,0,1,0.42692307692307696,Explicit,Implicit,Intra,Intra
11923,13,"Results indicate that a CCT for high school girls has protective effects on their experience of IPV and that the effect is due in part to girls choosing not to engage in sexual partnerships, thereby reducing the opportunity for IPV. As a lower exposure to IPV and safer sexual behaviours also protect against HIV acquisition, this study adds to the growing body of evidence on how cash transfers may reduce young women's HIV risk",1,girls choosing not to engage in sexual partnerships,reducing the opportunity for IPV,Explicit,Intra,0,girls choosing not to engage in sexual partnerships,reduced oppurtunity for IPV,Implicit,Intra,0,1,0.7222222222222222,Explicit,Implicit,Intra,Intra
11923,13,"Results indicate that a CCT for high school girls has protective effects on their experience of IPV and that the effect is due in part to girls choosing not to engage in sexual partnerships, thereby reducing the opportunity for IPV. As a lower exposure to IPV and safer sexual behaviours also protect against HIV acquisition, this study adds to the growing body of evidence on how cash transfers may reduce young women's HIV risk",2,lower exposure to IPV and safer sexual behaviours,protect against HIV acquisition,Explicit,Intra,0,girls choosing not to engage in sexual partnerships,reduced oppurtunity for IPV,Implicit,Intra,0,1,0.125,Explicit,Implicit,Intra,Intra
11923,13,"Results indicate that a CCT for high school girls has protective effects on their experience of IPV and that the effect is due in part to girls choosing not to engage in sexual partnerships, thereby reducing the opportunity for IPV. As a lower exposure to IPV and safer sexual behaviours also protect against HIV acquisition, this study adds to the growing body of evidence on how cash transfers may reduce young women's HIV risk",3,cash transfers,reduce young women's HIV risk,Explicit,Inter,0,girls choosing not to engage in sexual partnerships,reduced oppurtunity for IPV,Implicit,Intra,0,0,0.0,Explicit,Implicit,Inter,Intra
4020,14,A chronic disease generally leads to a decline in patients' health and shortened lives. This cross-sectional study examined death acceptance and related factors among Thai Buddhists diagnosed with chronic diseases,0,chronic disease,decline in patients' health,Explicit,Intra,0,A chronic disease,decline in patients' health,Implicit,Intra,1,1,1.0,Explicit,Implicit,Intra,Intra
4020,14,A chronic disease generally leads to a decline in patients' health and shortened lives. This cross-sectional study examined death acceptance and related factors among Thai Buddhists diagnosed with chronic diseases,1,chronic disease,shortened lives,Explicit,Intra,1,chronic disease,shortened lives,Implicit,Intra,1,1,1.0,Explicit,Implicit,Intra,Intra
27512,15,"Our two-sample Mendelian randomization study suggested a causal relationship between hypothyroidism and ischemic stroke, indicating that hypothyroidism could be a risk factor for ischemic stroke. However, further studies are required to elucidate the underlying biological mechanisms",0,hypothyroidism,ischemic stroke,Explicit,Intra,0,hypothyroidism,ischemic stroke,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
27512,15,"Our two-sample Mendelian randomization study suggested a causal relationship between hypothyroidism and ischemic stroke, indicating that hypothyroidism could be a risk factor for ischemic stroke. However, further studies are required to elucidate the underlying biological mechanisms",1,hypothyroidism,risk factor for ischemic stroke,Explicit,Intra,0,hypothyroidism,ischemic stroke,Explicit,Intra,0,1,0.7857142857142858,Explicit,Explicit,Intra,Intra
26440,16,"Our study demonstrates a causal relationship between AS and urolithiasis, with no evidence of reverse causality. Given the increased risk of urolithiasis in AS patients, it is crucial to implement preventive strategies and early detection. Stone composition analysis should also be incorporated into clinical practice for these patients, as it can provide essential insights into the metabolic and genetic factors contributing to stone formation, thus improving diagnostic accuracy and treatment outcomes. Future studies are needed to further validate these findings and explore the detailed mechanisms involved",0,AS,urolithiasis,Explicit,Intra,0,AS,urolithiasis,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
26440,16,"Our study demonstrates a causal relationship between AS and urolithiasis, with no evidence of reverse causality. Given the increased risk of urolithiasis in AS patients, it is crucial to implement preventive strategies and early detection. Stone composition analysis should also be incorporated into clinical practice for these patients, as it can provide essential insights into the metabolic and genetic factors contributing to stone formation, thus improving diagnostic accuracy and treatment outcomes. Future studies are needed to further validate these findings and explore the detailed mechanisms involved",1,stone composition analysis,improving diagnostic accuracy,Implicit,Intra,0,AS,urolithiasis,Explicit,Intra,0,0,0.0,Implicit,Explicit,Intra,Intra
26440,16,"Our study demonstrates a causal relationship between AS and urolithiasis, with no evidence of reverse causality. Given the increased risk of urolithiasis in AS patients, it is crucial to implement preventive strategies and early detection. Stone composition analysis should also be incorporated into clinical practice for these patients, as it can provide essential insights into the metabolic and genetic factors contributing to stone formation, thus improving diagnostic accuracy and treatment outcomes. Future studies are needed to further validate these findings and explore the detailed mechanisms involved",2,stone composition analysis,improving treatment outcomes,Implicit,Intra,0,AS,urolithiasis,Explicit,Intra,0,0,0.0,Implicit,Explicit,Intra,Intra
1537,17,"Breastfeeding has numerous maternal and infant benefits. Progesterone contraception after birth is frequently recommended, but because a decrease in progesterone is required to initiate lactation, early postpartum progesterone contraception use could inhibit lactation. The purpose of this article is to critically evaluate the scientific basis for conflicting clinical recommendations related to postpartum medroxyprogesterone use among breastfeeding women",0,decrease in progesterone,initiate lactation,Explicit,Intra,0,decrease in progesterone,initiates lactation,Implicit,Intra,0,1,0.75,Explicit,Implicit,Intra,Intra
1537,17,"Breastfeeding has numerous maternal and infant benefits. Progesterone contraception after birth is frequently recommended, but because a decrease in progesterone is required to initiate lactation, early postpartum progesterone contraception use could inhibit lactation. The purpose of this article is to critically evaluate the scientific basis for conflicting clinical recommendations related to postpartum medroxyprogesterone use among breastfeeding women",1,early postpartum progesterone contraception use,inhibit lactation,Explicit,Intra,1,early postpartum progesterone contraception use,inhibits lactation,Implicit,Intra,0,1,0.75,Explicit,Implicit,Intra,Intra
5236,18,"This study provides evidence for causal relationships between specific air pollutants and HNSC risk, and identifies potential gene targets for further investigation. The developed clinical prediction model may aid in HNSC prognosis and personalized treatment strategies",0,specific air pollutants,HNSC risk,Explicit,Intra,0,specific air pollutants,HNSC risk,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
5236,18,"This study provides evidence for causal relationships between specific air pollutants and HNSC risk, and identifies potential gene targets for further investigation. The developed clinical prediction model may aid in HNSC prognosis and personalized treatment strategies",1,developed clinical prediction model,aid in HNSC prognosis,Explicit,Intra,0,specific air pollutants,HNSC risk,Explicit,Intra,0,1,0.16666666666666666,Explicit,Explicit,Intra,Intra
5236,18,"This study provides evidence for causal relationships between specific air pollutants and HNSC risk, and identifies potential gene targets for further investigation. The developed clinical prediction model may aid in HNSC prognosis and personalized treatment strategies",2,developed clinical prediction model,personalized treatment strategies,Explicit,Intra,0,specific air pollutants,HNSC risk,Explicit,Intra,0,0,0.0,Explicit,Explicit,Intra,Intra
28264,20,These abnormalities provide absolute evidence of abnormal erythroblast haem biosynthesis and iron metabolism in the anaemia of RA and most likely reflect decreased ALA synthase mRNA translation and some abnormality of erythroblast iron transport. Further studies using highly purified erythroblast populations will attempt to identify the causal factors leading to this abnormal erythroblast metabolism,0,abnormalities,abnormal erythroblast haem biosynthesis,Implicit,Intra,0,the causal factors,this abnormal erythroblast metabolism,Explicit,Intra,0,1,0.25,Implicit,Explicit,Intra,Intra
28264,20,These abnormalities provide absolute evidence of abnormal erythroblast haem biosynthesis and iron metabolism in the anaemia of RA and most likely reflect decreased ALA synthase mRNA translation and some abnormality of erythroblast iron transport. Further studies using highly purified erythroblast populations will attempt to identify the causal factors leading to this abnormal erythroblast metabolism,1,abnormalities,iron metabolism,Implicit,Intra,0,the causal factors,this abnormal erythroblast metabolism,Explicit,Intra,0,1,0.16666666666666666,Implicit,Explicit,Intra,Intra
28264,20,These abnormalities provide absolute evidence of abnormal erythroblast haem biosynthesis and iron metabolism in the anaemia of RA and most likely reflect decreased ALA synthase mRNA translation and some abnormality of erythroblast iron transport. Further studies using highly purified erythroblast populations will attempt to identify the causal factors leading to this abnormal erythroblast metabolism,2,abnormalities,anaemia of RA,Implicit,Intra,0,the causal factors,this abnormal erythroblast metabolism,Explicit,Intra,0,0,0.0,Implicit,Explicit,Intra,Intra
28264,20,These abnormalities provide absolute evidence of abnormal erythroblast haem biosynthesis and iron metabolism in the anaemia of RA and most likely reflect decreased ALA synthase mRNA translation and some abnormality of erythroblast iron transport. Further studies using highly purified erythroblast populations will attempt to identify the causal factors leading to this abnormal erythroblast metabolism,3,decreased ALA synthase mRNA translation,abnormal erythroblast metabolism,Implicit,Inter,0,the causal factors,this abnormal erythroblast metabolism,Explicit,Intra,0,1,0.42857142857142855,Implicit,Explicit,Inter,Intra
28264,20,These abnormalities provide absolute evidence of abnormal erythroblast haem biosynthesis and iron metabolism in the anaemia of RA and most likely reflect decreased ALA synthase mRNA translation and some abnormality of erythroblast iron transport. Further studies using highly purified erythroblast populations will attempt to identify the causal factors leading to this abnormal erythroblast metabolism,4,some abnormality of erythroblast iron transport,abnormal erythroblast metabolism,Implicit,Inter,0,the causal factors,this abnormal erythroblast metabolism,Explicit,Intra,0,1,0.42857142857142855,Implicit,Explicit,Inter,Intra
29092,21,"MWFs containing mycobacteria induced granulomatous lung lesions, peribronchiolar lymphocytosis, increased cell concentrations in lavage, and up-regulation of several cytokines. These findings are consistent with HP",0,MWFs containing mycobacteria,granulomatous lung lesions,Explicit,Intra,0,MWFs containing mycobacteria,induced granulomatous lung lesions,Implicit,Intra,0,1,0.9285714285714286,Explicit,Implicit,Intra,Intra
29092,21,"MWFs containing mycobacteria induced granulomatous lung lesions, peribronchiolar lymphocytosis, increased cell concentrations in lavage, and up-regulation of several cytokines. These findings are consistent with HP",1,MWFs containing mycobacteria,peribronchiolar lymphocytosis,Explicit,Intra,1,MWFs containing mycobacteria,induced peribronchiolar lymphocytosis,Implicit,Intra,0,1,0.9,Explicit,Implicit,Intra,Intra
29092,21,"MWFs containing mycobacteria induced granulomatous lung lesions, peribronchiolar lymphocytosis, increased cell concentrations in lavage, and up-regulation of several cytokines. These findings are consistent with HP",2,MWFs containing mycobacteria,increased cell concentrations in lavage,Explicit,Intra,2,MWFs containing mycobacteria,increased cell concentrations in lavage,Implicit,Intra,1,1,1.0,Explicit,Implicit,Intra,Intra
29092,21,"MWFs containing mycobacteria induced granulomatous lung lesions, peribronchiolar lymphocytosis, increased cell concentrations in lavage, and up-regulation of several cytokines. These findings are consistent with HP",3,MWFs containing mycobacteria,up-regulation of several cytokines,Explicit,Intra,3,MWFs containing mycobacteria,up-regulation of several cytokines,Implicit,Intra,1,1,1.0,Explicit,Implicit,Intra,Intra
21640,23,"Exposure to perfluoroalkyl and polyfluoroalkyl substances causes oxidative stress, which is strongly associated with adverse health effects. Klotho protein plays an anti-aging role via antioxidation activity",0,Exposure to perfluoroalkyl and polyfluoroalkyl substances,oxidative stress,Explicit,Intra,0,Exposure to perfluoroalkyl substances,oxidative stress,Explicit,Intra,0,1,0.9,Explicit,Explicit,Intra,Intra
21640,23,"Exposure to perfluoroalkyl and polyfluoroalkyl substances causes oxidative stress, which is strongly associated with adverse health effects. Klotho protein plays an anti-aging role via antioxidation activity",1,oxidative stress,adverse health effects,Implicit,Intra,0,Exposure to perfluoroalkyl substances,oxidative stress,Explicit,Intra,0,0,0.0,Implicit,Explicit,Intra,Intra
26759,24,This study showed that THCA was causally related to BLCA. It is recommended to conduct more rigorous screenings for BLCA during the follow-up of THCA patients,0,THCA,BLCA,Explicit,Intra,0,THCA,BLCA,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
14817,25,These results provide strong evidence that a higher waist-hip ratio leads to GORD. Our study suggests that central fat distribution is crucial in causing GORD rather than overall weight,0,a higher waist-hip ratio,GORD,Explicit,Intra,1,higher waist-hip ratio,GORD,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
14817,25,These results provide strong evidence that a higher waist-hip ratio leads to GORD. Our study suggests that central fat distribution is crucial in causing GORD rather than overall weight,1,central fat distribution,GORD,Explicit,Inter,0,Central fat distribution,GORD,Explicit,Intra,1,1,1.0,Explicit,Explicit,Inter,Intra
19767,26,"These observations in the preeclampsia placenta, cultured trophoblasts, and Ttr transgenic mice indicate that TTR aggregation is an important causal contributor to preeclampsia pathophysiology",0,TTR aggregation,preeclampsia pathophysiology,Explicit,Intra,0,TTR aggregation,preeclampsia pathophysiology,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
501,27,"The rate of appendectomy in the patients whose CDI led to colectomy, was significantly higher than the calculated lifetime risk, suggesting an association of appendectomy and severe CDI resulting in colectomy. Larger prospective studies are needed to assess any potential causal relationships affecting fulminant CDI",0,appendectomy,severe CDI resulting in colectomy,Implicit,Intra,0,CDI,colectomy,Explicit,Intra,0,1,0.16666666666666669,Implicit,Explicit,Intra,Intra
5514,28,"Estimating causal effects of time-varying treatments or exposures in observational studies is challenging due to time-dependent confounding and missing data, necessitating advanced statistical approaches for accurate inference. Previous reviews indicate that singly robust methods are prevalent in epidemiological studies despite the availability of more robust alternatives that better handle time-varying confounding. Although common in longitudinal studies, missing data are often inadequately reported and addressed, potentially compromising the validity of estimates. Whether this dependence on less robust methods and inadequate handling of missing data persists in time-varying treatment settings remains unclear. This review aimed to identify current practices, methodological trends, and gaps in the causal estimation of time-varying treatments",0,time-dependent confounding and missing data,challenging estimating causal effects,Explicit,Intra,0,time-dependent confounding and missing data,Estimating causal effects of time-varying treatments or exposures in observational studies is challenging,Explicit,Intra,0,1,0.7352941176470589,Explicit,Explicit,Intra,Intra
5514,28,"Estimating causal effects of time-varying treatments or exposures in observational studies is challenging due to time-dependent confounding and missing data, necessitating advanced statistical approaches for accurate inference. Previous reviews indicate that singly robust methods are prevalent in epidemiological studies despite the availability of more robust alternatives that better handle time-varying confounding. Although common in longitudinal studies, missing data are often inadequately reported and addressed, potentially compromising the validity of estimates. Whether this dependence on less robust methods and inadequate handling of missing data persists in time-varying treatment settings remains unclear. This review aimed to identify current practices, methodological trends, and gaps in the causal estimation of time-varying treatments",1,singly robust methods,prevalence in epidemiological studies,Implicit,Intra,0,time-dependent confounding and missing data,Estimating causal effects of time-varying treatments or exposures in observational studies is challenging,Explicit,Intra,0,1,0.11764705882352941,Implicit,Explicit,Intra,Intra
5514,28,"Estimating causal effects of time-varying treatments or exposures in observational studies is challenging due to time-dependent confounding and missing data, necessitating advanced statistical approaches for accurate inference. Previous reviews indicate that singly robust methods are prevalent in epidemiological studies despite the availability of more robust alternatives that better handle time-varying confounding. Although common in longitudinal studies, missing data are often inadequately reported and addressed, potentially compromising the validity of estimates. Whether this dependence on less robust methods and inadequate handling of missing data persists in time-varying treatment settings remains unclear. This review aimed to identify current practices, methodological trends, and gaps in the causal estimation of time-varying treatments",2,missing data,inadequately reported and addressed,Implicit,Intra,0,time-dependent confounding and missing data,Estimating causal effects of time-varying treatments or exposures in observational studies is challenging,Explicit,Intra,0,1,0.28571428571428575,Implicit,Explicit,Intra,Intra
5514,28,"Estimating causal effects of time-varying treatments or exposures in observational studies is challenging due to time-dependent confounding and missing data, necessitating advanced statistical approaches for accurate inference. Previous reviews indicate that singly robust methods are prevalent in epidemiological studies despite the availability of more robust alternatives that better handle time-varying confounding. Although common in longitudinal studies, missing data are often inadequately reported and addressed, potentially compromising the validity of estimates. Whether this dependence on less robust methods and inadequate handling of missing data persists in time-varying treatment settings remains unclear. This review aimed to identify current practices, methodological trends, and gaps in the causal estimation of time-varying treatments",3,dependence on less robust methods and inadequate handling of missing data,compromising the validity of estimates,Implicit,Inter,0,time-dependent confounding and missing data,Estimating causal effects of time-varying treatments or exposures in observational studies is challenging,Explicit,Intra,0,1,0.24305555555555552,Implicit,Explicit,Inter,Intra
6544,29,We present strong evidence on the causal relationship between body fat mass/percentage and both the deterioration of lung function and the increased risk of COPD. Additional efforts are required to mitigate the negative effects of body fat,0,body fat mass/percentage,deterioration of lung function,Explicit,Intra,0,body fat mass/percentage,the deterioration of lung function,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
6544,29,We present strong evidence on the causal relationship between body fat mass/percentage and both the deterioration of lung function and the increased risk of COPD. Additional efforts are required to mitigate the negative effects of body fat,1,body fat mass/percentage,increased risk of COPD,Explicit,Intra,1,body fat mass/percentage,increased risk of COPD,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
27608,31,"The findings suggest significant causal relationships between immune phenotypes and malignant tumors of bone and articular cartilage, with metabolites potentially mediating these relationships. These insights lay the groundwork for further research and could contribute to the development of new biomarkers and treatment strategies",0,significant causal relationships between immune phenotypes and malignant tumors of bone and articular cartilage,metabolites potentially mediating these relationships,Implicit,Intra,0,immune phenotypes,malignant tumors of bone,Explicit,Intra,0,1,0.125,Implicit,Explicit,Intra,Intra
27608,31,"The findings suggest significant causal relationships between immune phenotypes and malignant tumors of bone and articular cartilage, with metabolites potentially mediating these relationships. These insights lay the groundwork for further research and could contribute to the development of new biomarkers and treatment strategies",1,These insights,lay the groundwork for further research,Explicit,Intra,0,immune phenotypes,malignant tumors of bone,Explicit,Intra,0,0,0.0,Explicit,Explicit,Intra,Intra
